estimator	min_score	mean_score	max_score	std_score	augmentation_k	augmentation_type	n_components	max_depth	C	gamma
SVC	0.39351851851851855	0.4834126984126984	0.6571428571428571	0.09118436300948315	3	<function random_augment at 0x112173f80>	10	NaN	100000.0	1e-06
SVC	0.3267195767195767	0.48338624338624336	0.6097883597883598	0.09206096815855588	2	<function random_augment at 0x112173f80>	13	NaN	10000000.0	1e-05
SVC	0.31084656084656087	0.4833597883597884	0.6362433862433862	0.10703654010508501	2	<function random_augment at 0x112173f80>	14	NaN	10000.0	0.001
SVC	0.4259259259259259	0.4833333333333333	0.578042328042328	0.051220374627348554	0	<function random_augment at 0x112173f80>	10	NaN	10.0	0.01
SVC	0.4259259259259259	0.4833333333333333	0.578042328042328	0.051220374627348554	0	<function random_augment at 0x112173f80>	10	NaN	100.0	0.001
SVC	0.4259259259259259	0.4833333333333333	0.578042328042328	0.051220374627348554	0	<function random_augment at 0x112173f80>	10	NaN	1000.0	0.0001
SVC	0.4259259259259259	0.4833333333333333	0.578042328042328	0.051220374627348554	0	<function random_augment at 0x112173f80>	10	NaN	10000.0	1e-05
SVC	0.3101851851851852	0.48314814814814816	0.6571428571428571	0.12265999613062793	20	<function random_augment at 0x112173f80>	10	NaN	10000000.0	1e-05
SVC	0.35648148148148145	0.48298941798941797	0.6126984126984126	0.08566975785075431	4	<function random_augment at 0x112173f80>	10	NaN	100000.0	0.001
SVC	0.35185185185185186	0.4828835978835978	0.5542328042328042	0.07396787549766545	3	<function random_augment at 0x112173f80>	13	NaN	1000000.0	0.001
SVC	0.39351851851851855	0.48285714285714293	0.5992063492063492	0.07486522889252753	20	<function random_augment at 0x112173f80>	13	NaN	100000.0	1e-06
SVC	0.35185185185185186	0.4828571428571428	0.5370370370370371	0.06661844228764034	1	<function random_augment at 0x112173f80>	10	NaN	10000000.0	1e-07
SVC	0.35185185185185186	0.48280423280423285	0.626984126984127	0.1000195943961908	4	<function random_augment at 0x112173f80>	10	NaN	10000000.0	0.0001
SVC	0.3055555555555555	0.48277777777777775	0.6005291005291005	0.09902948608493593	5	<function random_augment at 0x112173f80>	14	NaN	10000000.0	0.001
RandomForestClassifier	0.37433862433862436	0.4827248677248678	0.7238095238095238	0.13558952360136398	2	<function random_augment at 0x112173f80>	11	6	NaN	NaN
SVC	0.4351851851851852	0.4826719576719577	0.5529100529100529	0.03916416269565515	5	<function random_augment at 0x112173f80>	11	NaN	1000.0	0.001
SVC	0.4351851851851852	0.4826719576719577	0.5529100529100529	0.03916416269565515	5	<function random_augment at 0x112173f80>	11	NaN	100000.0	0.0001
SVC	0.4212962962962963	0.48264550264550266	0.5793650793650794	0.05289678405049385	10	<function random_augment at 0x112173f80>	11	NaN	100.0	10.0
SVC	0.3955026455026455	0.4826455026455026	0.646031746031746	0.08512804123624546	2	<function random_augment at 0x112173f80>	10	NaN	10000000.0	0.0001
SVC	0.3148148148148148	0.4826190476190476	0.6571428571428571	0.11192757469447966	3	<function random_augment at 0x112173f80>	12	NaN	10000000.0	1.0
SVC	0.38425925925925924	0.4826190476190476	0.6362433862433862	0.08550212163913067	2	<function random_augment at 0x112173f80>	13	NaN	10000000.0	1e-07
SVC	0.3716931216931217	0.4824603174603174	0.565079365079365	0.07430932032715377	0	<function random_augment at 0x112173f80>	11	NaN	100.0	1.0
SVC	0.335978835978836	0.4824603174603174	0.565079365079365	0.08824595842504328	0	<function random_augment at 0x112173f80>	11	NaN	1000.0	0.1
SVC	0.38888888888888884	0.48243386243386244	0.6375661375661376	0.08539518628404058	4	<function random_augment at 0x112173f80>	12	NaN	1000000.0	0.1
SVC	0.31084656084656087	0.48243386243386244	0.6362433862433862	0.10394026037771525	2	<function random_augment at 0x112173f80>	14	NaN	100.0	0.01
SVC	0.39351851851851855	0.48240740740740745	0.5992063492063492	0.08854691398053693	4	<function random_augment at 0x112173f80>	10	NaN	1000.0	0.001
SVC	0.2526455026455026	0.4822486772486772	0.7571428571428571	0.1874176918715238	1	<function random_augment at 0x112173f80>	13	NaN	1000.0	1.0
SVC	0.35185185185185186	0.4822222222222222	0.6362433862433862	0.09862771640785645	10	<function random_augment at 0x112173f80>	13	NaN	1000000.0	1e-06
SVC	0.38359788359788355	0.4821957671957672	0.708994708994709	0.12352207394584436	1	<function random_augment at 0x112173f80>	13	NaN	10000.0	0.0001
SVC	0.38359788359788355	0.4821957671957672	0.708994708994709	0.12352207394584436	1	<function random_augment at 0x112173f80>	13	NaN	100000.0	1e-05
SVC	0.3796296296296296	0.4821428571428571	0.6626984126984127	0.09539045719676077	2	<function random_augment at 0x112173f80>	13	NaN	10000000.0	0.0001
SVC	0.4305555555555555	0.48203703703703704	0.6238095238095238	0.07290298765500289	3	<function random_augment at 0x112173f80>	11	NaN	100000.0	1e-05
SVC	0.34722222222222215	0.4818783068783069	0.5886243386243386	0.09820980963558976	3	<function random_augment at 0x112173f80>	12	NaN	1000000.0	0.0001
SVC	0.40608465608465605	0.4818783068783069	0.5515873015873015	0.047925965646417275	1	<function random_augment at 0x112173f80>	10	NaN	10.0	0.01
SVC	0.40608465608465605	0.4818783068783069	0.5515873015873015	0.047925965646417275	1	<function random_augment at 0x112173f80>	10	NaN	100.0	0.001
SVC	0.40608465608465605	0.4818783068783069	0.5515873015873015	0.047925965646417275	1	<function random_augment at 0x112173f80>	10	NaN	1000.0	0.0001
SVC	0.40608465608465605	0.4818783068783069	0.5515873015873015	0.047925965646417275	1	<function random_augment at 0x112173f80>	10	NaN	10000.0	1e-05
SVC	0.37433862433862436	0.4818518518518518	0.63015873015873	0.08647267213213182	10	<function random_augment at 0x112173f80>	13	NaN	0.1	10.0
SVC	0.3055555555555555	0.4817195767195767	0.6619047619047619	0.14346462060625	1	<function random_augment at 0x112173f80>	11	NaN	10000000.0	0.001
SVC	0.3465608465608465	0.48161375661375655	0.5899470899470899	0.08764402936044237	0	<function random_augment at 0x112173f80>	12	NaN	10000000.0	0.0001
SVC	0.43650793650793646	0.48161375661375655	0.5158730158730159	0.02890264610316967	0	<function random_augment at 0x112173f80>	12	NaN	1000000.0	1e-06
RandomForestClassifier	0.3101851851851852	0.48158730158730145	0.615079365079365	0.10967104715988622	4	<function random_augment at 0x112173f80>	12	10	NaN	NaN
SVC	0.38425925925925924	0.4815343915343916	0.6256613756613757	0.08379884258000622	1	<function random_augment at 0x112173f80>	13	NaN	100.0	0.01
SVC	0.3849206349206349	0.4815343915343916	0.6256613756613757	0.08479410045857647	1	<function random_augment at 0x112173f80>	14	NaN	100.0	0.01
SVC	0.4212962962962963	0.4815343915343915	0.5423280423280423	0.04762026747408746	1	<function random_augment at 0x112173f80>	10	NaN	100.0	0.01
SVC	0.4212962962962963	0.4815343915343915	0.5423280423280423	0.04762026747408746	1	<function random_augment at 0x112173f80>	10	NaN	10000.0	0.001
SVC	0.4212962962962963	0.4815343915343915	0.5423280423280423	0.04762026747408746	1	<function random_augment at 0x112173f80>	10	NaN	1000000.0	0.0001
SVC	0.3055555555555555	0.4814021164021164	0.6362433862433862	0.1251141971571648	2	<function random_augment at 0x112173f80>	13	NaN	10.0	0.1
SVC	0.38359788359788355	0.4813492063492063	0.5886243386243386	0.07247953078567779	10	<function random_augment at 0x112173f80>	10	NaN	10000000.0	1e-06
SVC	0.38425925925925924	0.4813492063492063	0.5423280423280423	0.05256234958112531	1	<function random_augment at 0x112173f80>	10	NaN	100000.0	1e-05
SVC	0.38425925925925924	0.4811375661375661	0.5899470899470899	0.06674313243026128	10	<function random_augment at 0x112173f80>	11	NaN	100000.0	0.1
SVC	0.34259259259259256	0.4809523809523809	0.5687830687830687	0.08737611056848867	5	<function random_augment at 0x112173f80>	10	NaN	0.1	1.0
SVC	0.4305555555555555	0.48087301587301584	0.5515873015873015	0.046300196358780375	1	<function random_augment at 0x112173f80>	11	NaN	10.0	0.01
SVC	0.4305555555555555	0.48087301587301584	0.5515873015873015	0.046300196358780375	1	<function random_augment at 0x112173f80>	11	NaN	100.0	0.001
SVC	0.4305555555555555	0.48087301587301584	0.5515873015873015	0.046300196358780375	1	<function random_augment at 0x112173f80>	11	NaN	1000.0	0.0001
SVC	0.4305555555555555	0.48087301587301584	0.5515873015873015	0.046300196358780375	1	<function random_augment at 0x112173f80>	11	NaN	10000.0	1e-05
SVC	0.38359788359788355	0.4807407407407407	0.6137566137566138	0.08414252294016776	1	<function random_augment at 0x112173f80>	10	NaN	10000000.0	1e-05
SVC	0.39814814814814814	0.4806878306878307	0.6005291005291005	0.07094486424916528	0	<function random_augment at 0x112173f80>	11	NaN	10000000.0	1e-07
SVC	0.38888888888888884	0.4806878306878307	0.5886243386243386	0.06975102394514235	0	<function random_augment at 0x112173f80>	10	NaN	1000.0	0.001
SVC	0.43650793650793646	0.4806878306878306	0.5529100529100529	0.03876677007253986	0	<function random_augment at 0x112173f80>	13	NaN	1000.0	0.001
SVC	0.43650793650793646	0.4806878306878306	0.5529100529100529	0.03876677007253986	0	<function random_augment at 0x112173f80>	13	NaN	10000.0	0.0001
SVC	0.43650793650793646	0.4806878306878306	0.5529100529100529	0.03876677007253986	0	<function random_augment at 0x112173f80>	13	NaN	100000.0	1e-05
SVC	0.3465608465608465	0.4806878306878306	0.5529100529100529	0.07340781241188474	0	<function random_augment at 0x112173f80>	14	NaN	10.0	0.1
SVC	0.38888888888888884	0.4806349206349207	0.5992063492063492	0.07062796470119473	20	<function random_augment at 0x112173f80>	13	NaN	10000000.0	1e-05
SVC	0.2896825396825397	0.48060846560846554	0.6761904761904761	0.1387476127030451	1	<function random_augment at 0x112173f80>	14	NaN	100000.0	1.0
SVC	0.39351851851851855	0.4805555555555556	0.5793650793650794	0.0634942680393287	3	<function random_augment at 0x112173f80>	12	NaN	1.0	0.1
SVC	0.40277777777777773	0.4805291005291005	0.6243386243386243	0.08856680593273493	20	<function random_augment at 0x112173f80>	12	NaN	0.1	0.01
SVC	0.40277777777777773	0.4805291005291005	0.6243386243386243	0.08856680593273493	20	<function random_augment at 0x112173f80>	13	NaN	0.1	0.01
SVC	0.40277777777777773	0.4805291005291005	0.6243386243386243	0.08856680593273493	20	<function random_augment at 0x112173f80>	14	NaN	0.1	0.01
SVC	0.3148148148148148	0.48050264550264543	0.6571428571428571	0.12172956666138626	5	<function random_augment at 0x112173f80>	10	NaN	100000.0	1.0
RandomForestClassifier	0.27314814814814814	0.4803968253968254	0.6936507936507935	0.15014252814440537	3	<function random_augment at 0x112173f80>	14	12	NaN	NaN
SVC	0.375	0.4802910052910052	0.5555555555555555	0.06407962261725221	1	<function random_augment at 0x112173f80>	11	NaN	10000.0	1e-06
RandomForestClassifier	0.3148148148148148	0.4802116402116402	0.7714285714285714	0.1611065845881528	2	<function random_augment at 0x112173f80>	10	8	NaN	NaN
SVC	0.35185185185185186	0.4802116402116402	0.6126984126984126	0.09680521372897141	3	<function random_augment at 0x112173f80>	12	NaN	1.0	1.0
SVC	0.3055555555555555	0.48010582010582004	0.6571428571428571	0.1247718895080565	2	<function random_augment at 0x112173f80>	13	NaN	1000000.0	0.001
SVC	0.3941798941798942	0.48010582010582004	0.546031746031746	0.05133410936339095	10	<function random_augment at 0x112173f80>	14	NaN	100.0	0.001
SVC	0.3941798941798942	0.48010582010582004	0.546031746031746	0.05133410936339095	10	<function random_augment at 0x112173f80>	14	NaN	1000.0	0.0001
SVC	0.3941798941798942	0.48010582010582004	0.546031746031746	0.05133410936339095	10	<function random_augment at 0x112173f80>	14	NaN	10000.0	1e-05
SVC	0.2526455026455026	0.48007936507936505	0.6256613756613757	0.12273317919187293	1	<function random_augment at 0x112173f80>	14	NaN	1000000.0	1e-06
SVC	0.35185185185185186	0.4800264550264551	0.626984126984127	0.09049243333267037	5	<function random_augment at 0x112173f80>	11	NaN	1000.0	10.0
SVC	0.38359788359788355	0.48002645502645497	0.6904761904761904	0.11573310632417545	1	<function random_augment at 0x112173f80>	10	NaN	1000000.0	1.0
SVC	0.38359788359788355	0.48002645502645497	0.6904761904761904	0.11573310632417545	1	<function random_augment at 0x112173f80>	10	NaN	10000000.0	1.0
SVC	0.42063492063492064	0.48002645502645497	0.6084656084656085	0.07074234345791998	4	<function random_augment at 0x112173f80>	11	NaN	10000000.0	1e-05
SVC	0.3849206349206349	0.48002645502645497	0.5317460317460317	0.05272852457737491	0	<function random_augment at 0x112173f80>	14	NaN	100000.0	0.0001
SVC	0.42063492063492064	0.47994708994709	0.5793650793650794	0.0568546523964237	10	<function random_augment at 0x112173f80>	12	NaN	10000000.0	0.01
SVC	0.34722222222222215	0.4797619047619047	0.6256613756613757	0.09281681090970088	0	<function random_augment at 0x112173f80>	10	NaN	10000.0	0.0001
