,ID_BLT,ENM,CASRN,maximum_weight_fraction,size_avg_nm,propMW,propMP,propBP,propDensity,PUCID,gencatID,group,product_type,refined_product_type,assignedID,absorbent,antioxidant,antistain_agent,biocide,brightener,chemical_reaction_regulator,colorant,dehydrating_agent,deodorizer,dispersing_agent,filler,flavouring_nutrient,fuel_agent,hardener,humectant,lubricating_agent,opacifier,uv_stabilizer,viscosity_modifier,OECD_function,functionSum,LOD,measured
60,RIVM_03,Silver,7440-22-4,0.00085,,107.868,961.78,2162,10.345,FC.0200.010.004.C,FC,food storage ,food storage,plastic,C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,1,1
61,RIVM_09,Silver,7440-22-4,0.0008,,107.868,961.78,2162,10.345,CS.0500.010.006.A,CS,toys ,toys,soft,A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,1,1
62,RIVM_10,Silver,7440-22-4,0.00084,13,107.868,961.78,2162,10.345,HM.1400.010.041.F,HM,paint/stain and related products ,paint,interior,F,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,1,1
63,RIVM_12,Silicon dioxide,7631-86-9,0.002139398,510,60.085,1600,2230,2.5915,PC.2300.080.099.F,PC,make-up and related ,lip balm,NOC,F,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,"absorbent
filler
opacifier
viscosity_modifier",4,0,1
64,RIVM_13,Titanium dioxide,13463-67-7,0.026696304,60,79.867,1843,2972,4.23,PC.2300.080.099.F,PC,make-up and related ,lip balm,NOC,F,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"brightener
uv_stabilizer
viscosity_modifier",3,0,1
65,RIVM_14,Silicon dioxide,7631-86-9,0.019254584,50,60.085,1600,2230,2.5915,PC.1200.020.099.F,PC,facial cleansing and moisturizing ,face cream/moisturizer,NOC,F,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,"absorbent
filler
opacifier
viscosity_modifier",4,0,1
66,RIVM_15,Titanium dioxide,13463-67-7,0.003337038,17,79.867,1843,2972,4.23,PC.1200.020.099.F,PC,facial cleansing and moisturizing ,face cream/moisturizer,NOC,F,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"brightener
uv_stabilizer
viscosity_modifier",3,0,1
67,RIVM_16,Aluminum oxide,1344-28-1,0.026453669,,101.96,2072,2977,3.795,PC.1200.030.099.F,PC,facial cleansing and moisturizing ,face mask,NOC,F,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"absorbent
dehydrating_agent
viscosity_modifier",3,0,1
68,RIVM_17,Silicon dioxide,7631-86-9,0.04920616,,60.085,1600,2230,2.5915,PC.1200.030.099.F,PC,facial cleansing and moisturizing ,face mask,NOC,F,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,"absorbent
filler
opacifier
viscosity_modifier",4,0,1
69,RIVM_18,Titanium dioxide,13463-67-7,0.003337038,121,79.867,1843,2972,4.23,PC.1200.030.099.F,PC,facial cleansing and moisturizing ,face mask,NOC,F,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"brightener
viscosity_modifier",2,0,1
70,RIVM_19,Silver,7440-22-4,0.01,150,107.868,961.78,2162,10.345,AP.0200.030.099.A,AP,apparel ,socks,NOC,A,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"biocide
deodorizer",2,0,1
71,RIVM_20,Silver,7440-22-4,0.0008,,107.868,961.78,2162,10.345,AP.0200.010.099.A,AP,apparel ,shirts,NOC,A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,1,1
72,RIVM_24,Silver,7440-22-4,0.95,12.5,107.868,961.78,2162,10.345,PC.1400.010.099.A,PC,first aid ,band-aids,NOC,A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,0,1
73,RIVM_25,Silver,7440-22-4,0.0008,,107.868,961.78,2162,10.345,PC.0900.010.099.A,PC,dental care ,toothbrush,NOC,A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,1,1
74,RIVM_26,Titanium dioxide,13463-67-7,0.005005557,125,79.867,1843,2972,4.23,PC.1200.020.099.F,PC,facial cleansing and moisturizing ,face cream/moisturizer,NOC,F,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"brightener
uv_stabilizer
viscosity_modifier",3,0,1
75,RIVM_29,Silicon dioxide,7631-86-9,0.0002,,60.085,1600,2230,2.5915,AC.0300.020.050.F,AC,fabric treatment and dye ,fabric paints and sealers,spray,F,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"antistain_agent
dispersing_agent
filler
hardener",4,1,1
76,RIVM_30,Zinc oxide,1314-13-2,0.00062238,,81.37,1975,2360,5.605,AC.0300.020.050.F,AC,fabric treatment and dye ,fabric paints and sealers,spray,F,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,"filler
hardener
uv_stabilizer",3,1,1
77,RIVM_31,Silicon dioxide,7631-86-9,0.008129713,57,60.085,1600,2230,2.5915,PC.2900.010.050.F,PC,sunscreen ,sunscreen ,spray,F,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,"absorbent
filler
opacifier
viscosity_modifier",4,0,1
78,RIVM_32,Titanium dioxide,13463-67-7,0.000667408,,79.867,1843,2972,4.23,PC.2900.010.050.F,PC,sunscreen ,sunscreen ,spray,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,uv_stabilizer,1,1,1
79,RIVM_33,Silver,7440-22-4,0.0008,,107.868,961.78,2162,10.345,PC.1000.010.050.F,PC,deodorant ,deodorant,spray,F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"biocide
deodorizer",2,1,1
80,Philippe_01,Titanium dioxide,13463-67-7,0.04688,16.8,79.867,1843,2972,4.23,PC.2900.010.099.F,PC,sunscreen ,sunscreen ,NOC,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,uv_stabilizer,1,0,1
81,Philippe_02,Titanium dioxide,13463-67-7,0.07472,18.7,79.867,1843,2972,4.23,PC.2900.010.001.F,PC,sunscreen ,sunscreen ,child,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,uv_stabilizer,1,0,1
82,Philippe_03,Titanium dioxide,13463-67-7,0.06284,23.8,79.867,1843,2972,4.23,PC.2900.010.099.F,PC,sunscreen ,sunscreen ,NOC,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,uv_stabilizer,1,0,1
